name	preview	download
BarlowSemiCondensed-MediumItalic	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-MediumItalic.ttf
BarlowSemiCondensed-SemiBoldItalic	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-SemiBoldItalic.ttf
BarlowSemiCondensed-ThinItalic	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-ThinItalic.ttf
BarlowSemiCondensed-Medium	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-Medium.ttf
BarlowSemiCondensed-Light	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-Light.ttf
BarlowSemiCondensed-SemiBold	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-SemiBold.ttf
BarlowSemiCondensed-ExtraLight	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-ExtraLight.ttf
BarlowSemiCondensed-BlackItalic	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-BlackItalic.ttf
BarlowSemiCondensed-BoldItalic	https://fonts.google.com/specimen/Barlow+Semi+Condensed	https://raw.githubusercontent.com/google/fonts/main/ofl/barlowsemicondensed/BarlowSemiCondensed-BoldItalic.ttf
MetalMania-Regular	https://fonts.google.com/specimen/Metal+Mania	https://raw.githubusercontent.com/google/fonts/main/ofl/metalmania/MetalMania-Regular.ttf
